iter	Passed	Remaining
176	371	1729
177	374	1728
178	375	1722
179	376	1716
180	378	1710
181	379	1707
182	381	1701
183	382	1696
184	384	1694
185	385	1688
186	386	1682
187	387	1674
188	388	1667
189	389	1660
190	390	1654
191	391	1647
192	392	1640
193	393	1633
194	394	1629
195	396	1625
196	399	1626
197	400	1623
198	402	1619
199	404	1616
200	405	1612
201	406	1607
202	407	1601
203	408	1594
204	409	1589
205	411	1584
206	412	1579
207	413	1572
208	413	1566
209	414	1559
210	415	1552
211	415	1545
212	417	1541
213	418	1537
214	419	1531
215	420	1525
216	421	1519
217	421	1513
218	422	1507
219	423	1503
220	425	1499
221	426	1493
222	426	1487
223	427	1481
224	428	1476
225	429	1471
226	430	1467
227	432	1463
228	433	1458
229	433	1452
230	434	1446
231	435	1440
232	435	1435
233	436	1429
234	438	1426
235	439	1421
236	439	1416
237	440	1411
238	441	1405
239	442	1399
240	442	1394
241	444	1390
242	445	1386
243	446	1382
244	446	1377
245	447	1372
246	448	1367
247	449	1362
248	450	1357
249	451	1353
250	452	1350
251	453	1345
252	454	1341
253	454	1336
254	455	1331
255	456	1326
256	458	1324
257	459	1320
258	460	1316
259	460	1311
260	461	1307
261	462	1302
262	463	1298
263	464	1295
264	465	1292
265	466	1287
266	467	1283
267	468	1279
268	469	1274
269	469	1270
270	470	1266
271	472	1263
272	472	1259
273	473	1255
274	474	1251
275	475	1246
276	476	1242
277	476	1238
278	478	1235
279	479	1232
280	480	1228
281	481	1226
282	482	1222
283	483	1218
284	483	1214
285	485	1211
286	486	1208
287	487	1204
288	488	1200
289	488	1196
290	489	1192
291	490	1189
292	492	1187
293	493	1183
294	493	1180
295	494	1176
296	495	1173
297	496	1170
298	497	1166
299	498	1163
300	499	1160
301	500	1157
302	501	1153
303	502	1149
304	502	1146
305	503	1142
306	504	1139
307	505	1136
308	506	1133
309	507	1129
310	508	1126
311	509	1122
312	509	1118
313	510	1116
314	512	1113
315	513	1110
316	513	1107
317	514	1103
318	515	1100
319	516	1097
320	517	1094
321	518	1091
322	519	1089
323	520	1085
324	521	1082
325	522	1079
326	522	1075
327	523	1072
328	524	1069
329	525	1067
330	526	1064
331	527	1061
332	528	1058
333	528	1054
334	529	1051
335	530	1048
336	531	1046
337	533	1044
338	533	1041
339	534	1038
340	535	1034
341	536	1031
342	537	1028
343	537	1025
344	539	1023
345	540	1021
346	541	1018
347	542	1015
348	542	1012
349	543	1009
350	544	1006
351	545	1004
352	546	1002
353	547	999
354	548	996
355	549	993
356	549	990
357	550	987
358	551	984
359	552	982
360	553	980
361	554	977
362	555	974
363	556	971
364	557	969
365	557	966
366	559	964
367	560	962
368	561	959
369	562	956
370	562	954
371	563	951
372	564	948
373	565	946
374	567	945
375	567	942
376	568	939
377	569	936
378	570	934
379	570	931
380	571	928
381	573	927
382	574	925
383	574	922
384	575	920
385	576	917
386	577	914
387	578	912
388	579	909
389	580	908
390	581	905
391	582	903
392	583	900
393	583	898
394	584	895
395	585	892
396	586	891
397	587	889
398	588	886
399	589	883
400	590	881
401	590	878
402	591	876
403	592	874
404	594	872
405	595	870
406	595	868
407	596	865
408	597	863
409	598	860
410	599	858
411	600	856
412	601	855
413	602	852
414	603	850
415	604	848
416	604	845
417	605	843
418	606	841
419	608	839
420	608	837
421	609	834
422	610	832
423	611	830
424	611	827
425	612	825
426	613	823
427	614	821
428	615	819
429	616	817
430	617	814
431	617	812
432	618	810
433	619	808
434	621	806
435	621	804
436	622	802
437	623	800
438	624	797
439	625	795
440	625	793
441	627	791
442	628	790
443	629	788
444	630	786
445	631	784
446	631	781
447	632	779
448	634	778
449	635	776
450	636	774
451	636	771
452	637	769
453	638	767
454	639	765
455	640	764
456	641	762
457	642	760
458	643	758
459	643	755
460	644	753
461	645	751
462	646	749
463	647	748
464	648	746
465	649	744
466	650	742
467	651	740
468	651	737
469	652	735
470	653	734
471	655	732
472	655	730
473	656	728
474	657	726
475	658	724
476	659	722
477	660	720
478	661	719
479	662	717
480	662	715
481	663	713
482	664	711
483	665	709
484	666	707
485	667	706
486	668	704
487	669	702
488	670	700
489	671	698
490	672	696
491	672	694
492	674	693
493	675	691
494	676	689
495	676	687
496	677	685
497	678	683
498	679	682
499	680	680
500	681	679
501	682	677
502	683	675
503	684	673
504	685	672
505	686	670
506	687	668
507	688	667
508	690	665
509	691	663
510	691	661
511	692	660
512	693	658
513	694	656
514	695	655
515	696	653
516	697	651
517	698	649
518	698	647
519	699	645
520	700	644
521	702	642
522	702	641
523	703	639
524	704	637
525	705	635
526	706	633
527	707	632
528	708	630
529	709	629
530	710	627
531	711	625
532	711	623
533	712	621
534	713	620
535	714	618
536	715	617
537	716	615
538	717	613
539	718	611
540	718	609
541	719	608
542	720	606
543	721	605
544	723	603
545	723	601
546	724	600
547	725	598
548	726	596
549	726	594
550	727	593
551	729	591
552	730	590
553	730	588
554	731	586
555	732	585
556	733	583
557	734	581
558	735	580
559	736	578
560	737	577
561	738	575
562	738	573
563	739	571
564	740	569
565	741	568
566	742	567
567	743	565
568	744	563
569	744	561
570	745	560
571	746	558
572	747	556
573	748	555
574	749	554
575	750	552
576	751	550
577	752	549
578	752	547
579	753	545
580	754	544
581	755	542
582	756	541
583	757	539
584	758	537
585	758	536
586	759	534
587	760	532
588	761	531
589	762	530
590	763	528
591	764	526
592	765	525
593	766	523
594	767	522
595	768	520
596	769	519
597	770	518
598	771	516
599	772	514
600	773	513
601	774	511
602	775	510
603	777	509
604	778	508
605	779	506
606	780	505
607	781	503
608	783	502
609	784	501
610	785	499
611	786	498
612	787	496
613	788	495
614	789	494
615	790	492
616	791	491
617	792	489
618	792	488
619	793	486
620	795	485
621	796	483
622	797	482
623	798	481
624	799	479
625	799	477
626	800	476
627	801	475
628	803	473
629	803	472
630	804	470
631	805	468
632	806	467
633	807	465
634	808	464
635	810	463
636	810	462
637	811	460
638	812	459
639	813	457
640	814	455
641	815	454
642	816	453
643	817	451
644	817	450
645	818	448
646	819	447
647	820	445
648	820	443
649	822	442
650	823	441
651	824	439
652	825	438
653	825	436
654	826	435
655	827	433
656	828	432
657	829	431
658	830	429
659	831	428
660	831	426
661	832	425
662	833	423
663	834	422
664	835	420
665	836	419
666	837	418
667	838	416
668	839	415
669	839	413
670	840	412
671	841	410
672	843	409
673	844	408
674	844	406
675	845	405
676	846	403
677	846	402
678	848	401
679	850	400
680	850	398
681	851	397
682	852	395
683	853	394
684	854	393
685	855	391
686	856	390
687	857	388
688	858	387
689	859	385
690	859	384
691	860	383
692	862	381
693	863	380
694	863	379
695	864	377
696	865	376
697	866	374
698	867	373
699	868	372
700	869	370
701	870	369
702	871	367
703	871	366
704	872	365
705	873	363
706	873	362
707	875	360
708	876	359
709	877	358
710	878	357
711	879	355
712	880	354
713	881	353
714	882	351
715	883	350
716	884	349
717	885	347
718	886	346
719	887	344
720	888	343
721	889	342
722	890	341
723	891	339
724	891	338
725	892	336
726	893	335
727	894	334
728	895	332
729	896	331
730	897	330
731	898	328
732	899	327
733	899	326
734	900	324
735	901	323
736	903	322
737	903	320
738	904	319
739	905	318
740	906	316
741	907	315
742	907	314
743	909	312
744	910	311
745	911	310
746	911	308
747	912	307
748	913	306
749	914	304
750	915	303
751	916	302
752	917	300
753	918	299
754	918	298
755	919	296
756	920	295
757	921	294
758	922	293
759	923	291
760	924	290
761	925	289
762	926	287
763	927	286
764	927	285
765	929	283
766	930	282
767	931	281
768	932	280
769	932	278
770	933	277
771	934	275
772	935	274
773	937	273
774	938	272
775	939	271
776	940	269
777	942	268
778	943	267
779	943	266
780	944	264
781	945	263
782	946	262
783	946	260
784	947	259
785	949	258
786	949	257
787	950	255
788	951	254
789	952	253
790	953	251
791	953	250
792	955	249
793	956	248
794	956	246
795	957	245
796	958	244
797	959	242
798	959	241
799	960	240
800	962	239
801	962	237
802	963	236
803	964	235
804	965	233
805	965	232
806	966	231
807	967	229
808	968	228
809	969	227
810	970	226
811	970	224
812	971	223
813	972	222
814	973	220
815	974	219
816	975	218
817	976	217
818	977	216
819	978	214
820	978	213
821	979	212
822	980	210
823	981	209
824	982	208
825	983	207
826	984	205
827	984	204
828	985	203
829	986	202
830	987	200
831	988	199
832	989	198
833	990	197
834	990	195
835	991	194
836	992	193
837	993	192
838	993	190
839	995	189
840	996	188
841	997	187
842	997	185
843	998	184
844	999	183
845	1000	182
846	1001	180
847	1002	179
848	1003	178
849	1004	177
850	1004	175
851	1005	174
852	1006	173
853	1007	172
854	1009	171
855	1009	169
856	1010	168
857	1011	167
858	1012	166
859	1012	164
860	1013	163
861	1014	162
862	1015	161
863	1016	160
864	1017	158
865	1018	157
866	1019	156
867	1019	155
868	1020	153
869	1021	152
870	1022	151
871	1023	150
872	1024	149
873	1025	147
874	1026	146
875	1026	145
876	1028	144
877	1029	143
878	1030	141
879	1031	140
880	1032	139
881	1032	138
882	1033	136
883	1034	135
884	1036	134
885	1037	133
886	1037	132
887	1038	130
888	1039	129
889	1040	128
890	1040	127
891	1042	126
892	1043	125
893	1044	123
894	1044	122
895	1045	121
896	1046	120
897	1047	118
898	1048	117
899	1049	116
900	1050	115
901	1051	114
902	1052	113
903	1052	111
904	1053	110
905	1054	109
906	1055	108
907	1056	107
908	1057	105
909	1058	104
910	1059	103
911	1059	102
912	1060	101
913	1061	99
914	1062	98
915	1063	97
916	1064	96
917	1065	95
918	1065	93
919	1066	92
920	1067	91
921	1068	90
922	1070	89
923	1070	88
924	1071	86
925	1072	85
926	1073	84
927	1073	83
928	1074	82
929	1076	80
930	1077	79
931	1077	78
932	1078	77
933	1079	76
934	1079	75
935	1080	73
936	1081	72
937	1082	71
938	1083	70
939	1084	69
940	1085	68
941	1085	66
942	1086	65
943	1087	64
944	1088	63
945	1089	62
946	1090	61
947	1091	59
948	1092	58
949	1092	57
950	1093	56
951	1094	55
952	1095	54
953	1096	52
954	1097	51
955	1098	50
956	1099	49
957	1099	48
958	1100	47
959	1101	45
960	1102	44
961	1103	43
962	1104	42
963	1105	41
964	1106	40
965	1106	38
966	1107	37
967	1108	36
968	1109	35
969	1110	34
970	1111	33
971	1112	32
972	1113	30
973	1113	29
974	1114	28
975	1115	27
976	1117	26
977	1118	25
978	1118	23
979	1119	22
980	1120	21
981	1120	20
982	1121	19
983	1122	18
984	1124	17
985	1124	15
986	1125	14
987	1126	13
988	1127	12
989	1128	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
